1 :	язва яства яранга яруга ярыга яга ябеда ягода 
20 :	метеослужба молот-рыба меч-рыба мольба молотьба мурава мордва мойва молва молитва мальва мольва малага молодчага мочага мезга мелюзга мга меренга минога мамалыга мотыга миляга мириада менада монада меледа мзда мунда мода метода мансарда морда мурда мульда магараджа межа мрежа мерёжа маржа метафраза метатеза митральеза марсельеза маркиза микориза мимоза мелитоза мальтоза метаморфоза мирза мурза менопауза медуза муза мыза макака 
21 :	лайба луна-рыба люба лава локва лярва ловитва листва лихва лузга лига лачуга лодыга лжеприсяга летяга левада лада лампада лансада лебеда лайда лаванда легенда луда лёжа лонжа ложа лужа лыжа липаза левулёза линза лоза лактоза луза ломака 
22 :	кааба колба катакомба клумба косьба канава купава кружева королева кошева крапива конъюнктива кваква клюква кряква косхалва канва корова курва клятва кулага колымага крага курага корчага коллега калига кулига книга коврига квадрига кабарга карга кочерга каторга куга калуга кольчуга кочерыга киркомотыга кеньга коняга кочевряга коряга кавалькада колоннада канонада клоунада кривда когда кое-когда кой-когда костоеда кинозвезда кардиоида клотоида конхоида кантарида коррида кариатида кувалда контрабанда команда кода колода крем-сода кустода карда кокарда корда куда кое-куда кой-куда касыда коляда кража кумжа кожа китобаза кобза катахреза каллёза коза контругроза каверза контроверза кирза кукуруза кляуза клака 
23 :	йоруба йога 
24 :	изба игла-рыба ива инициатива инвектива интрига иволга изжога иеремиада иногда инда иуда из-за изобаза 
25 :	злоба зазноба забава застава зёва заслуга задруга заструга забулдыга зверюга здоровяга засада завсегда звезда зуда зануда запруда запродажа зообаза зараза зраза зализа заноза задавака зевака 
26 :	жаба жадоба жалоба женитьба жнива жатва жратва жертва жига жадюга жаднюга жажда жиронда жеода жижа железа 
27 :	едва едва-едва ендова еда езда ехида ерунда ежа егоза 
28 :	даба дружба диатриба дамба дерба дыба держава дубрава два дева дива дефензива директива дуброва дрова дресва дратва детва донага драга дрога дорога дуга деньга дерюга доходяга деляга дворняга дриада декада досада дылда дуранда дурында держиморда дуда докуда дотуда досюда дежа дереза диереза девиза доза декстроза друза дюза 
29 :	гекатомба губа голуба глыба городьба гульба гоньба гурьба голытьба глава гуава грива голова гуайява гага громада гонада глиссада гнида гипоциклоида гланда гирлянда гарда груда гряда госпожа грыжа глаза гипотеза грёза грымза глюкоза гуммоза гомоза гроза галактоза гюрза гидромедуза гипотенуза гильза 
30 :	ворожба верба волшба втридешева вдова вага влага ватага выжига визига верига волга втридорога выслуга ворюга вьюга всегда вражда вежда веранда вода воевода выгода вежа вожжа вельможа ваза вполглаза виза взлиза вискоза 
31 :	баба бой-баба божба бомба блямба бороньба борьба булава билингва бечева буква брюква братва битва бритва ботва баклага бедолага бумага брага бега брюзга булга берлога белуга булыга брам-стеньга бом-брам-стеньга баба-яга бодяга бродяга бедняга бравада бригада баррикада блокада баллада бастонада буффонада брада балюстрада беда беседа бразда борозда балда банда баланда бленда блонда борода барда бомбарда бакенбарда белиберда бурда баржа биржа база берёза бонза бронза брынза буза блуза бирюза 
32 :	аба абаб амёба амба арба алчба агава альмавива альтернатива айва антиква ага альпага агитбригада алидада альпиниада аркада анфилада акколада армада арлекинада альборада автострада астроида акарида аскарида апсида айда аренда анаконда алебарда амплитуда альтитуда аванложа авиабаза агробаза автобаза амилаза аргиназа анафаза антитеза антреприза амилоза аркебуза анакруза абака 
